Frame;ms on GPU;ConstantBuffersTime;SceneDepthPrePass;SceneShadows;
462;29.1263;0;13.9762;14.1831;
463;30.9623;0;14.8583;14.4722;
464;28.3387;3.2e-05;14.0171;13.0336;
465;28.2194;0;14.0905;12.8882;
466;28.3764;0;14.2113;13.111;
467;28.744;0;14.3377;13.339;
468;28.2131;0;14.2529;13.0716;
469;30.5272;0;14.6207;15.0069;
470;29.3133;3.2e-05;14.638;13.1032;
471;28.6041;0;14.4637;13.2654;
