Frame;ms on GPU;ConstantBuffersTime;SceneDepthPrePass;SceneShadows;
298;33.4028;3.2e-05;17.1878;15.1512;
299;30.7491;0;14.875;14.9981;
300;31.2459;0;15.0572;15.5414;
301;31.8362;0;14.9245;15.8561;
302;31.3642;0;14.92;15.5768;
303;33.7992;0;15.4535;17.2065;
304;31.3748;0;15.1225;15.1083;
305;30.5178;0;14.5439;15.1885;
306;32.0903;0;16.2894;15.1305;
307;31.6288;3.2e-05;15.632;14.9467;
308;31.8179;3.2e-05;15.1371;15.4377;
309;38.333;3.2e-05;16.7041;20.8586;
310;30.8912;0;15.0244;14.5602;
311;33.5535;0;16.233;16.2867;
312;31.7903;0;15.2089;15.8801;
313;31.2242;0;14.9516;15.1187;
314;31.2726;3.2e-05;14.8435;15.1862;
315;32.6747;3.2e-05;15.7016;16.0458;
316;31.4371;3.2e-05;14.941;15.286;
317;30.4888;0;14.8928;14.8188;
318;31.1875;0;15.4167;14.5408;
319;32.1447;0;15.2598;15.8408;
320;30.7624;0;15.172;14.912;
321;35.3436;0;16.7329;16.9099;
322;32.2195;3.2e-05;15.4964;15.5126;
323;31.0491;0;15.3668;14.7211;
324;30.9099;0;15.1228;14.8058;
325;31.6861;3.2e-05;14.8828;15.8435;
326;30.7168;0;14.7986;15.2495;
327;33.2452;3.2e-05;16.3075;15.7042;
328;30.8824;0;14.6377;15.0203;
329;31.5631;0;15.0829;15.267;
330;30.9158;0;14.9997;15.1188;
331;30.8709;0;14.9212;14.8286;
332;30.5595;0;14.9222;14.8773;
333;34.0642;0;16.5332;16.731;
334;31.3006;3.2e-05;15.2665;14.9964;
335;33.1297;0;16.0181;15.896;
336;32.1452;3.2e-05;15.2351;15.4971;
337;31.8134;0;15.0697;15.5758;
338;30.8185;0;15.0206;14.952;
339;35.0437;0;16.2332;17.9084;
340;34.5414;0;16.5135;16.797;
341;31.2167;0;15.1963;15.1933;
342;31.1395;3.2e-05;14.8416;15.3454;
343;30.5688;0;15.0353;14.7708;
344;33.0355;0;16.1787;15.9532;
345;32.3592;3.2e-05;16.1226;15.2272;
346;32.2241;0;15.8456;15.0885;
347;31.8109;0;15.5683;15.0166;
348;31.1257;0;15.2172;14.8518;
349;31.0201;3.2e-05;14.8495;14.959;
350;33.5885;3.2e-05;15.8042;16.9341;
351;31.6184;0;14.952;15.8952;
352;31.2613;0;15.0138;15.0823;
353;37.3222;0;23.7467;12.7552;
354;31.6376;0;14.4564;16.0429;
355;31.2553;0;15.5525;14.9398;
356;34.5361;0;16.6695;17.1014;
357;31.7604;0;15.4515;15.2266;
358;31.0088;0;15.0947;15.0969;
359;31.6698;3.2e-05;15.3752;15.1214;
360;30.9114;3.2e-05;14.8443;15.2272;
361;30.7875;0;15.1609;14.4007;
362;34.6931;3.2e-05;17.4378;16.4787;
363;31.2611;3.2e-05;14.9802;15.0576;
364;31.5264;3.2e-05;15.1745;15.1329;
365;31.1706;0;14.9146;14.9117;
366;31.2836;0;14.8127;15.1696;
367;31.1455;0;14.688;15.2772;
368;32.7139;0;16.157;15.5486;
369;31.683;0;15.0797;15.572;
370;31.554;3.2e-05;15.3305;15.4507;
371;31.301;3.2e-05;15.0123;15.0095;
372;31.4574;3.2e-05;15.3405;15.0694;
373;31.7802;0;15.0136;15.6415;
374;33.2954;0;15.9048;16.5676;
375;31.7189;3.2e-05;15.3631;15.2046;
376;31.081;0;15.0143;15.6014;
377;30.601;0;14.8871;15.3282;
378;31.6221;3.2e-05;15.1674;15.7441;
379;31.244;0;15.0814;15.1239;
380;33.7436;3.2e-05;16.3753;16.1541;
381;36.8131;0;20.527;15.0888;
382;31.8119;0;15.2198;15.112;
383;31.354;0;15.0167;15.0891;
384;31.9683;3.2e-05;15.2039;15.47;
385;32.2451;0;15.3602;15.8165;
386;31.4376;3.2e-05;15.7991;14.8396;
387;31.8435;0;14.9308;15.1799;
388;31.2601;3.2e-05;15.1832;15.6484;
389;31.6691;3.2e-05;15.2011;15.6452;
390;32.2476;0;15.0142;16.1917;
391;32.6902;0;14.8185;16.8612;
392;32.176;0;15.6546;15.4237;
393;30.3729;0;14.3871;14.9838;
394;30.9362;0;15.2885;14.9322;
395;31.2916;0;15.098;15.4119;
396;31.2043;3.2e-05;15.042;14.9846;
397;32.7366;0;15.5415;16.4256;
398;31.6849;0;15.0678;15.8891;
399;31.2576;0;15.1288;14.8927;
400;31.4065;0;14.8464;15.2613;
401;31.7817;0;14.916;15.4217;
402;31.1136;0;14.9037;14.995;
403;34.5626;0;15.8721;17.6272;
404;31.1266;0;15.4734;14.7877;
405;31.0966;3.2e-05;15.2375;15.0809;
406;31.2835;0;15.1098;15.1623;
407;32.3298;0;15.2963;16.0592;
408;30.4711;0;14.5805;14.6274;
409;38.292;0;17.5885;20.4024;
410;31.5022;0;15.1313;15.3175;
411;31.8752;0;15.3915;15.2513;
412;31.7095;0;15.0058;15.309;
413;32.9972;3.2e-05;15.6487;16.298;
414;32.163;3.2e-05;15.0045;16.0842;
415;32.9633;3.2e-05;16.3716;15.3527;
416;35.7411;0;15.4221;19.6209;
417;31.9129;0;16.126;14.8881;
418;31.5371;0;15.1125;15.6435;
419;31.2212;0;14.9907;15.4236;
420;33.8704;0;15.122;17.778;
